_id,ltable_ID,rtable_ID,ltable_title,ltable_author,ltable_isbn,ltable_publisher,ltable_edition,ltable_pages,ltable_dimension,rtable_title,rtable_author,rtable_isbn,rtable_publisher,rtable_edition,rtable_pages,rtable_dimension,gold_labels
4129,1788,1834,Shelly Cashman Series Microsoft Office 365 & Word 2016: Comprehensive / Edition 1,Misty E. Vermaat,9781305871014,Cengage Learning,,,6.00(w) x 1.25(h) x 9.00(d),Shelly Cashman Series Microsoft Office 365 & Office 2016,Misty E.; Freund; Steven M.; Hoisington; Corinne; S Vermaat,9781337251037,Course Technology,,,,0
7779,3064,3023,Adventures of Huckleberry Finn: Dover Thrift Study Edition,Mark Twain,9780486475844,Dover Publications,,,5.10(w) x 8.20(h) x 1.00(d),Las aventuras de Huckleberry Finn (Spanish Edition),Mark Twain,9789583052712,Lectorum Pubns (Juv),,,,0
9064,3544,3447,Sun Tzu - The Art of War - The Illustrated Edition,Sun Tzu,9781781580479,Coda Books Ltd,,,6.00(w) x 9.00(h) x 0.42(d),The Art of War by Sun Tzu & the Book of Five Rings by Miyamoto Musashi,Sun Tzu; Musashi Miyamoto,9789562912501,WWW.Bnpublishing.com,,,5.00 x 7.90 x 0.50 inches,0
7379,2834,2899,Sun Tzu - The Art of War,Sun Tzu,9781492354604,CreateSpace Publishing,,,5.00(w) x 8.00(h) x 0.17(d),Sun Tzu's Original Art of War,Sun Tzu; Sun Zi; Andrew W. Zieger,9780981313702,Colors Network,,,7.30 x 10.20 x 0.80 inches,0
7505,3156,2927,Diary of Jayne,A. M. Ramirez,9781482687521,CreateSpace Publishing,,,5.00(w) x 8.00(h) x 0.32(d),Diary of Jayne,A. M. Ramirez,9781482687521,CreateSpace Independent Publishing Platform,,,,1
3072,1628,1362,Unity 5 from Zero to Proficiency (Beginner): A step-by-step guide to coding your first game with Unity,P Patrick Felicia;  p Patrick Felicia,9781522907701,CreateSpace Publishing,,,8.50(w) x 11.00(h) x 0.52(d),Unity 5 from Zero to Proficiency (Beginner),P Patrick Felicia,9781522907701,CreateSpace Independent Publishing Platform,,,,1
3443,2398,1543,C# 7.0 All-in-One For Dummies,John Paul Mueller;  Bill Sempf;  Chuck Sphar,9781119428114,Wiley,,,7.40(w) x 9.20(h) x 1.80(d),C++ All-in-one For Dummies,John Paul Mueller,9781118823781,John Wiley & Sons Inc,,,5.91 x 9.84 x 0.59 inches,0
9490,2479,3584,Babbitt - The Original Classic Edition,Sinclair Lewis,9781486150434,Emereo Pty Ltd,,,7.44(w) x 9.69(h) x 0.36(d),Babbitt - The Original Classic Edition,Sinclair Lewis,9781486150434,Tebbo,,,7.44 x 9.69 x 0.36 inches,1
2025,100,859,Strain The Volume 5 The Night Eternal,Guillermo Del Torro;  Mike Huddleston,9781616556389,Dark Horse Comics,,,6.40(w) x 10.10(h) x 0.40(d),The Night Eternal TV Tie-in Edition (The Strain Trilogy),Guillermo; Hogan; Chuck Del Toro,9780062344632,Harper,,,,0
6733,3496,2762,The Art of War,Sun Tzu,9781784048174,Arcturus Publishing Limited,,,6.40(w) x 9.70(h) x 1.10(d),The Art of War,Sun Tzu,9781522777755,CreateSpace Independent Publishing Platform,,,,0
2823,2339,1257,Art of Deception: Controlling the Human Element of Security / Edition 1,Kevin D. Mitnick;  William L. Simon,9780764542800,Wiley,,,5.44(w) x 9.64(h) x 0.85(d),The Art of Deception,Kevin D. Mitnick; William L. Simon; Steve Wozniak,9780764542800,John Wiley & Sons,,,6.00 x 9.04 x 0.98 inches,1
3108,2050,1383,New Perspectives Microsoft Office 365 & Excel 2016: Intermediate / Edition 1,June Jamrich Parsons;  Dan Oja;  Patrick Carey;  Carol DesJardins,9781305880412,Cengage Learning,,,8.40(w) x 10.50(h) x 0.70(d),New Perspectives Microsoft Office 365 & Excel 2016,Patrick; DesJardins; Carol Carey,9781305880429,Course Technology,,,,0
924,469,312,Dark of the Moon (Virgil Flowers Series #1),John Sandford,9780425224137,Penguin Publishing Group,,,4.20(w) x 7.40(h) x 1.10(d),Dark of the Moon,John Sandford,9780425224137,Berkley Trade Pub,,,4.20 x 7.40 x 1.00 inches,1
7717,3008,2981,Sun Tzu's Original Art of War: Special Bilingual Edition,Sun Tzu;  Sun Zi,9780981313733,Colors Network,,,7.00(w) x 10.00(h) x 0.44(d),The Art of War,Sun Tzu,9781530575374,CreateSpace Independent Publishing Platform,,,,0
8901,2844,3378,Cracking the AP Physics 1 Exam 2018 Premium Edition,Princeton Review,9781524710613,Random House Children's Books,,,8.30(w) x 10.40(h) x 1.20(d),Cracking the AP Physics C Exam 2015 Edition (College Test Preparation),Princeton Review,9780804125369,Princeton Review,,,,0
4657,1688,2070,QuickBooks 2015 All-in-One For Dummies,Stephen L. Nelson,9781118920176,Wiley,,,7.30(w) x 9.20(h) x 1.20(d),QuickBooks 2018 All-in-One For Dummies (For Dummies (Computer/Tech)),Stephen L. Nelson,9781119397366,For Dummies,,,,0
6669,3340,2744,Cracking the AP Physics C Exam 2018 Edition: Proven Techniques to Help You Score a 5,Princeton Review,9781524710132,Random House Children's Books,,,8.40(w) x 10.80(h) x 1.80(d),Cracking the AP Physics 1 Exam 2017 Edition,Princeton Review,9781101919958,Princeton Review,,,,0
6302,3119,2629,The Art of War: Traditional Text with Annotations amp; Commentary,Sun Tzu,9781522777755,CreateSpace Publishing,,,5.00(w) x 8.00(h) x 0.42(d),Sun Tzu - The Art of War,Sun Tzu,9781492354604,CreateSpace Independent Publishing Platform,,,,0
5288,1490,2271,Illustrated Microsoft Office 365 & Office 2016: Introductory / Edition 1,David W. Beskeen;  Carol M. Cram;  Jennifer Duffy;  Lisa Friedrichsen,9781305876026,Cengage Learning,,,8.40(w) x 10.80(h) x 1.00(d),Illustrated Microsoft Office 365 & PowerPoint 2016,David W. Beskeen,9781305878174,Course Technology,,,,0
1444,2510,554,Adventures of Huckleberry Finn (Barnes & Noble Classics Series),Mark Twain,9781593081126,Barnes & Noble,,,8.04(w) x 5.30(h) x 0.90(d),Adventures of Huckleberry Finn Thrift Study Edition,Mark Twain,9780486475844,Dover Publications,,,5.10 x 8.20 x 0.90 inches,0
1632,549,688,Dreams Made Flesh (Black Jewels Series),Anne Bishop,9780451460707,Penguin Publishing Group,,,4.30(w) x 6.80(h) x 1.20(d),Dreams Made Flesh,Anne Bishop,9780451460707,Roc,,,4.12 x 6.84 x 1.27 inches,1
5825,2839,2480,The Cabinet of Curiosities (Special Agent Pendergast Series #3),Douglas Preston;  Lincoln Child,9781455582891,Grand Central Publishing,,,4.20(w) x 7.50(h) x 1.70(d),Fever Dream (Agent Pendergast series),Douglas; Child; Lincoln Preston,9781455584390,Grand Central Publishing,,,,0
5635,3263,2422,Cracking the AP Computer Science A Exam 2017 Edition,Princeton Review,9781101919880,Random House Children's Books,,,8.30(w) x 10.80(h) x 0.90(d),Cracking the AP U.S. History Exam 2018 Edition,Princeton Review,9781524710194,Princeton Review,,,,0
4444,1805,1953,Implementing CDISC Using SAS: An End-to-End Guide Second Edition,Chris Holland;  Jack Shostak,9781629598253,SAS Institute Inc.,,,7.50(w) x 9.25(h) x 0.62(d),Implementing CDISC Using SAS(R),Chris; Shostak; Jack Holland,9781629598253,SAS Publishing,,,,1
1954,3602,793,Adventures of Huckleberry Finn: Original Unabridged,Mark Twain,9781544989679,CreateSpace Publishing,,,6.00(w) x 9.00(h) x 0.32(d),Adventures of Huckleberry Finn,Mark Twain; Gerald Graff; James Phelan,9780312400293,Bedford Books,,,5.52 x 8.20 x 0.81 inches,0
5229,1284,2260,iPhone Photography for Everybody,Michael Fagans,9781682032909,Amherst Media Incorporated,,,6.90(w) x 9.90(h) x 0.40(d),iPhone Photography for Everybody,Michael Fagans,9781682032909,Amherst Media,,,,1
9542,3631,3617,Beyond the Black River: Conan the Barbarian #12,Howard Robert Ervin,9781984259790,CreateSpace Publishing,,,6.00(w) x 1.25(h) x 9.00(d),Beyond the Black River,Howard Robert Ervin,9781984259790,CreateSpace Independent Publishing Platform,,,,1
3314,2099,1447,Million Dollar eBay Business From Home: A Step By Step Guide,Mr Neil Waterhouse,9781482775143,CreateSpace Publishing,,,6.00(w) x 9.00(h) x 0.54(d),Million Dollar eBay Business From Home,Mr Neil Waterhouse,9781482775143,CreateSpace Independent Publishing Platform,,,,1
1621,2510,680,Adventures of Huckleberry Finn (Barnes & Noble Classics Series),Mark Twain,9781593081126,Barnes & Noble,,,8.04(w) x 5.30(h) x 0.90(d),The Adventures of Tom Sawyer and Adventures of Huckleberry Finn,Mark Twain; Shelley Fisher Fishkin,9780451532145,Signet Classics,,,,0
8897,3263,3378,Cracking the AP Computer Science A Exam 2017 Edition,Princeton Review,9781101919880,Random House Children's Books,,,8.30(w) x 10.80(h) x 0.90(d),Cracking the AP Physics C Exam 2015 Edition (College Test Preparation),Princeton Review,9780804125369,Princeton Review,,,,0
3973,1966,1755,Coldfusion 9 Developer Tutorial,John Farrar,9781849690249,Packt Publishing,,,7.50(w) x 9.25(h) x 0.80(d),Coldfusion 9 Developer Tutorial,John Farrar,9781849690249,Packt Publishing,,,9.25 x 7.51 x 0.79 inches,1
4762,1699,2109,New Perspectives Microsoft Office 365 & Excel 2016: Comprehensive Loose-leaf Version / Edition 1,June Jamrich Parsons;  Dan Oja;  Patrick Carey;  Carol DesJardins,9781337251471,Cengage Learning,,,8.50(w) x 10.80(h) x 1.20(d),New Perspectives Microsoft Office 365 & Excel 2016,June Jamrich; Oja; Dan; Carey; Patrick; DesJardins; Parsons,9781305880405,Course Technology,,,,0
6691,2480,2747,"A Study Guide for Anne Tyler's ""Dinner at the Homesick Restaurant""",Cengage Learning Gale,9781375378925,BiblioLabs LLC,,,6.00(w) x 1.25(h) x 9.00(d),"A Study Guide for Anne Tyler's ""Dinner at the Homesick Restaurant""",Cengage Learning Gale,9781375378925,Gale Study Guides,,,,1
3991,1739,1770,R Graphics Cookbook / Edition 1,Winston Chang,9781449316952,O'Reilly Media Incorporated,,,7.00(w) x 9.10(h) x 0.70(d),R Graphics Cookbook,Winston Chang,9781449316952,O'Reilly Media,,,,1
8044,2983,3088,Patmos in the Reception History of the Apocalypse,Ian Boxall,9780199674206,Oxford University Press USA,,,9.30(w) x 6.40(h) x 1.10(d),Patmos in the Reception History of the Apocalypse,Ian Boxall,9780199674206,Oxford University Press,,,9.57 x 6.42 x 0.91 inches,1
3772,2189,1692,Shelly Cashman Series Microsoft Office 365 & Access 2016: Introductory / Edition 1,Philip J. Pratt;  Mary Z. Last,9781305870611,Cengage Learning,,,8.40(w) x 10.70(h) x 0.40(d),Shelly Cashman Microsoft Office 365 & Office 2016,Steven M.; Last; Mary Z.; Pratt; Philip J.; Vermaat; Freund,9781305870048,Course Technology,,,,0
802,3614,226,Notes from Underground The Double and Other Stories (Barnes & Noble Classics Series),Fyodor Dostoevsky,9781593081249,Barnes & Noble,,,5.10(w) x 7.90(h) x 1.30(d),Notes from Underground the Double and Other Stories (Barnes & Noble Classic Series),Fyodor M. Dostoevsky; Deborah A. Martinsen; Constance Garnett,9781593081249,Barnes & Noble Classics,,,,1
5822,3182,2475,Memoirs of an Addicted Brain: A Neuroscientist Examines his Former Life on Drugs,Marc Lewis,9781610392334,PublicAffairs,,,5.80(w) x 8.90(h) x 0.50(d),Memoirs of an Addicted Brain,Marc Lewis,9781610392334,The Perseus Books Group,,,,1
4356,2258,1912,Implementing Cisco IP Routing (ROUTE) Foundation Learning Guide: (CCNP ROUTE 300-101) / Edition 1,Diane Teare;  Bob Vachon;  Rick Graziani,9781587204562,Cisco Press,,,7.50(w) x 9.20(h) x 5.70(d),Implementing Cisco IP Routing (ROUTE) Foundation Learning Guide,Diane; Vachon; Bob; Graziani; Rick Teare,9781587204562,Cisco Press,,,,1
5787,2497,2467,Sun Tzu's The Art Of War,Sun Tzu,9781449556761,CreateSpace Publishing,,,5.50(w) x 8.50(h) x 0.12(d),The Art of War and The 36 Stratagems (Chinese Edition),Sun; Anonymous Tzu,9781784351410,JiaHu Books,,,,0
849,1166,255,More Transcendental Science & Religion Tales,Austin P Torney,9781491294314,CreateSpace Publishing,,,6.00(w) x 9.00(h) x 0.89(d),More Transcendental Science & Religion Tales,Austin P Torney,9781491294314,CreateSpace Independent Publishing Platform,,,,1
5145,1615,2212,How to Win Friends and Influence People in the Digital Age,Dale Carnegie,9781451612592,Simon & Schuster,,,5.50(w) x 8.37(h) x 0.70(d),How to Win Friends & Influence People in the Digital Age,Dale Carnegie; Robert Petkoff,9781442344815,Simon & Schuster Audio,,,5.33 x 5.81 x 0.80 inches,0
2967,2092,1333,Shelly Cashman Series Discovering Computers & Microsoft Office 365 & Office 2016: A Fundamental Combined Approach / Edition 1,Jennifer T. Campbell;  Steven M. Freund;  Mark Frydenberg;  Mary Z. Last,9781305871809,Cengage Learning,,,8.60(w) x 12.30(h) x 1.30(d),Shelly Cashman Series Discovering Computers & Microsoft Office 365 & Office 2016,Jennifer T.; Freund; Steven M.; Frydenberg; Mark; Campbell,9781337251655,Course Technology,,,,0
1082,384,424,Star Trek: Enterprise: Rise of the Federation: Uncertain Logic,Christopher L. Bennett,9781476779119,Pocket Books/Star Trek,,,4.10(w) x 6.60(h) x 1.30(d),Rise of the Federation,Christopher L. Bennett,9781476749648,Simon & Schuster,,,4.37 x 7.01 x 0.00 inches,0
8903,2472,3378,Cracking the AP European History Exam 2018 Edition: Proven Techniques to Help You Score a 5,Princeton Review,9781524710095,Random House Children's Books,,,8.20(w) x 10.90(h) x 1.20(d),Cracking the AP Physics C Exam 2015 Edition (College Test Preparation),Princeton Review,9780804125369,Princeton Review,,,,0
1228,533,468,Autobiography of an Ex-Colored Man and Other Writings (Barnes & Noble Classics Series),James Weldon Johnson,9781593082895,Barnes & Noble,,,5.19(w) x 8.00(h) x 0.52(d),The Autobiography of an Ex-Colored Man,James Weldon Johnson; Noelle Morrissette; Delano Greenidge-Copprue,9781593082895,Barnes & Noble,,,5.20 x 8.02 x 0.59 inches,1
1754,883,756,"Huck Finn and the Zombie Jim: The classic Adventures of Huckleberry Finn with ""the N word"" replaced by the word zombie",Mark Twain,9781499359107,CreateSpace Publishing,,,6.00(w) x 9.00(h) x 0.58(d),Adventures of Huckleberry Finn,Mark Twain,9781544989679,CreateSpace Independent Publishing Platform,,,,0
4137,1277,1837,Canon EOS Rebel T3/1100D For Dummies,Julie Adair King;  Robert Correll,9781118094976,Wiley,,,7.30(w) x 9.10(h) x 0.90(d),Canon EOS Rebel T6/1300D For Dummies,Julie Adair King,9781119295648,For Dummies,,,,0
4508,1940,1989,How to Do Everything Adobe Acrobat X / Edition 1,Doug Sahlin,9780071752930,McGraw-Hill Professional Publishing,,,8.90(w) x 7.32(h) x 0.83(d),How to Do Everything Adobe Acrobat X,Sahlin Doug; Doug Sahlin,9780071752930,McGraw-Hill/Osborne Media,,,7.30 x 9.00 x 1.00 inches,1
1534,676,622,Science Fiction and the Two Cultures: Essays on Bridging the Gap Between the Sciences and the Humanities,Gary Westfahl,9780786442973,McFarland & Company Incorporated Publishers,,,5.90(w) x 8.90(h) x 0.90(d),Science Fiction and the Two Cultures,Gary Westfahl; George Slusser,9780786442973,McFarland & Company,,,5.90 x 8.90 x 0.90 inches,1
6715,2497,2762,Sun Tzu's The Art Of War,Sun Tzu,9781449556761,CreateSpace Publishing,,,5.50(w) x 8.50(h) x 0.12(d),The Art of War,Sun Tzu,9781522777755,CreateSpace Independent Publishing Platform,,,,1
5547,1780,2372,Windows 10 Step by Step,Joan Lambert;  Steve Lambert,9780735697959,Microsoft Press,,,8.90(w) x 7.30(h) x 1.10(d),Windows 10 Step by Step,Joan; Lambert; Steve Lambert,9780735697959,Microsoft Press,,,,1
4997,1668,2181,Database Reliability Engineering: Designing and Operating Resilient Database Systems,Laine Campbell;  Charity Majors,9781491925942,O'Reilly Media Incorporated,,,7.00(w) x 9.19(h) x (d),Database Reliability Engineering,Laine; Majors; Charity Campbell,9781491925942,O'Reilly Media,,,,1
6686,2558,2744,Cracking the AP European History Exam 2013 Edition,Princeton Review,9780307944894,Random House Children's Books,,,8.46(w) x 10.64(h) x 1.12(d),Cracking the AP Physics 1 Exam 2017 Edition,Princeton Review,9781101919958,Princeton Review,,,,0
0,100,4,Strain The Volume 5 The Night Eternal,Guillermo Del Torro;  Mike Huddleston,9781616556389,Dark Horse Comics,,,6.40(w) x 10.10(h) x 0.40(d),Strain The Volume 5 The Night Eternal,Guillermo Del Torro,9781616556389,Dark Horse Books,,,,1
7593,2472,2950,Cracking the AP European History Exam 2018 Edition: Proven Techniques to Help You Score a 5,Princeton Review,9781524710095,Random House Children's Books,,,8.20(w) x 10.90(h) x 1.20(d),550 AP European History Practice Questions (College Test Preparation),Princeton Review,9780804124904,Princeton Review,,,,0
5295,1242,2282,Learn Excel 2016 Expert Skills with The Smart Method,Mike Smart,9781909253094,The Smart Method Ltd,,,8.27(w) x 11.69(h) x 1.04(d),Learn Excel 2016 Expert Skills with The Smart Method,Mike Smart,9781909253094,The Smart Method Limited,,,,1
5972,3400,2515,The Mystery of the Shemitah With DVD: The 3000-Year-Old Mystery That Holds the Secret of America's Future the World's Future and Your Future!,Jonathan Cahn,9781629987156,Charisma Media,,,5.50(w) x 8.20(h) x 3.90(d),The Mystery of the Shemitah,Jonathan Cahn,9781629981932,Frontline,,,,0
439,496,108,Grammar Grade 4,Carson-Dellosa Publishing,9781936023219,Carson-Dellosa Publishing Company Incorporated,,,5.90(w) x 8.80(h) x 0.30(d),Grammar Grade 4,Carson-Dellosa Publishing,9781936023219,Carson Dellosa Publishing Company,,,6.00 x 8.80 x 0.30 inches,1
1831,2968,760,Anna Karenina (Barnes & Noble Classics Series),Leo Tolstoy,9781593080273,Barnes & Noble,,,5.10(w) x 7.90(h) x 2.00(d),Anna Karenina (Barnes & Noble Classics Series),Leo Nikolayevich Tolstoy; Amy Mandelker; Constance Garnett,9781593080273,Barnes & Noble Classics,,,5.30 x 8.12 x 1.89 inches,1
986,633,360,I Want to Hold Your Hand (Green Mountain Series #2),Marie Force,9780425266779,Penguin Publishing Group,,,4.10(w) x 6.60(h) x 1.10(d),I Want to Hold Your Hand (Green Mountain),Marie Force,9780425266779,Berkley,,,,1
3632,1482,1645,Microsoft Word 2016 for Mac: A Guide for Seniors,Philip Tranton,9781518845673,CreateSpace Publishing,,,6.50(w) x 9.30(h) x 0.80(d),Microsoft Word 2016 for Mac,Philip Tranton,9781518646393,CreateSpace Independent Publishing Platform,,,,0
